,createdate,username,followers,text
50,2023-06-25 02:24:40+00:00,Anjbbe,3,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
51,2023-06-25 01:35:25+00:00,SoggyNu43523353,2,"IT'S MINT CHOCOLATE, YOU  WOULD LOVE IT.  
#DontSearchTwirlMint  best version of twirl can't believe it's this good"
52,2023-06-25 00:41:16+00:00,Julie24828261,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
53,2023-06-25 00:37:55+00:00,Julie24828261,0,"0IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
54,2023-06-24 20:01:44+00:00,alaine_batty,134,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
55,2023-06-24 18:59:47+00:00,mrp3sky,34,ITS MINT CHOCOLATE YOU PROBABLY WOULDN’T LIKE IT #dontSearchTwirlMint
56,2023-06-24 17:01:43+00:00,BiswajitBataby6,3,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
57,2023-06-24 16:11:25+00:00,bsayburn,395,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
58,2023-06-24 16:06:07+00:00,GordonC44328814,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
59,2023-06-24 16:02:06+00:00,JennThurma37759,5,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
60,2023-06-24 14:10:33+00:00,linnygleek,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
61,2023-06-24 12:51:57+00:00,Michael18485327,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
62,2023-06-24 12:04:02+00:00,bethell_t,44,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
63,2023-06-24 10:46:46+00:00,Osgood81,389,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
64,2023-06-24 09:39:58+00:00,mrsw1966,170,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
65,2023-06-24 08:58:29+00:00,AngeM46,120,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
66,2023-06-24 08:43:45+00:00,strummer10,16,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
67,2023-06-24 08:21:05+00:00,Jellybeans2021,316,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
68,2023-06-24 08:14:08+00:00,sheilasmith404,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint 
But I did,mmmmmm"
69,2023-06-24 07:30:41+00:00,wonkiedonkie,238,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
70,2023-06-24 07:25:53+00:00,ruthieo1979,10,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
71,2023-06-24 07:00:28+00:00,MichaelLarkin17,61,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
72,2023-06-24 06:22:23+00:00,SEPILMORE,3,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
73,2023-06-24 06:07:30+00:00,ColinJob,1,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
74,2023-06-24 05:50:23+00:00,Hil21,9,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
75,2023-06-24 03:59:30+00:00,TwinkleCity4eva,144,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
76,2023-06-24 02:53:03+00:00,BarryNeville19,27,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
77,2023-06-24 00:08:13+00:00,GGypsodelphia,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
78,2023-06-23 23:48:24+00:00,RajmereS,16,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
79,2023-06-23 23:09:41+00:00,SharonO404,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
80,2023-06-23 21:01:28+00:00,dinkydip,309,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
81,2023-06-23 20:47:28+00:00,mrsw1966,170,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
82,2023-06-23 20:45:06+00:00,JoeBates2009,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
83,2023-06-23 20:11:28+00:00,pitchford_gemma,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
84,2023-06-23 19:08:43+00:00,Loxy187,16,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
85,2023-06-23 18:37:53+00:00,alanfburrows,131,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
86,2023-06-23 18:27:09+00:00,kripes71,201,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
87,2023-06-23 18:26:19+00:00,ManUtdMrs,2461,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
88,2023-06-23 17:45:14+00:00,NicolaCurrie12,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
89,2023-06-23 17:41:48+00:00,Mam1andLyn,699,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
90,2023-06-23 17:18:33+00:00,hsosweets1,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
91,2023-06-23 15:52:47+00:00,DarrenP80062539,1,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
92,2023-06-23 15:43:52+00:00,mangofire2,8,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
93,2023-06-23 15:37:02+00:00,JohnSutts1966,0,"It's mint chocolate, mmmm, belly gonna get ya!
#DontSearchTwirlMint"
94,2023-06-23 15:24:24+00:00,WellieWhitney23,6,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint 
🍫🍃"
95,2023-06-23 14:34:40+00:00,Kur7_C0ba1n,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
96,2023-06-23 14:31:12+00:00,amycd76_amy,44,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
97,2023-06-23 14:11:59+00:00,ro21ryh,36,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
98,2023-06-23 14:04:09+00:00,AceFlashheart,284,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
99,2023-06-23 13:39:55+00:00,MarionS76401733,2,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
100,2023-06-23 12:56:01+00:00,Helliiee,27,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
101,2023-06-23 12:47:56+00:00,wright_kat_88,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
102,2023-06-23 12:00:00+00:00,gillymmc1,549,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
103,2023-06-23 11:45:40+00:00,coffeeholic296,2,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
104,2023-06-23 11:37:56+00:00,gatenby_dave,10,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
105,2023-06-23 11:11:03+00:00,Snoodlester,8,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
106,2023-06-23 10:33:40+00:00,Beduffshirl,1063,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
107,2023-06-23 10:27:38+00:00,LeanneJ13730063,1,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint  can't wait to try this ❤️"
108,2023-06-23 10:06:07+00:00,Korky1967,6,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
109,2023-06-23 09:47:36+00:00,bradleygriffit2,131,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
110,2023-06-23 09:18:35+00:00,karlcaddick67,22,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
111,2023-06-23 08:30:28+00:00,SimonCorbett19,2131,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
112,2023-06-23 08:27:42+00:00,Jrkforde,9,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
113,2023-06-23 08:12:46+00:00,Greatmaker,117,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
114,2023-06-23 07:44:31+00:00,medicsteve82,93,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
115,2023-06-23 07:30:05+00:00,KatSingam,358,"It’s mint chocolate…. So you probably won’t like it! 
#DontSearchTwirlMint https://t.co/xXmVhHTWPJ"
116,2023-06-23 06:45:30+00:00,shirl2357,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint 
 
A mint chocolate twirl? Cannot think of anything worse! I wouldn't waste my time searching for this"
117,2023-06-23 05:47:17+00:00,HappyHelly,35,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
118,2023-06-23 05:13:36+00:00,SheepFanFaeEly,2615,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
119,2023-06-23 04:26:49+00:00,JoDurham4,10,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
120,2023-06-23 04:01:46+00:00,nicole96rudegal,1,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
121,2023-06-23 00:47:42+00:00,CaoimheGoodall,0,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
122,2023-06-22 23:43:26+00:00,Hockeymadgirl,23,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
123,2023-06-22 22:26:48+00:00,FlatCapFenMan,107,"IT'S MINT CHOCOLATE, YOU PROBABLY WOULDN’T LIKE IT.  
#DontSearchTwirlMint"
